region,region_population_thousands,latitude,longitude,property_type,property_age,area_sqm,bedrooms,bathrooms,floor,distance_to_center,has_elevator,has_garden,has_parking,price,address,neighborhood,construction_quality,energy_rating,last_renovation,transaction_date,price_per_sqm
Tunis,634,36.8301230695014,10.182400521568805,Villa,7,442,7,3,0,2.0,False,True,True,7172000,"22 Impasse Farhat Hached, Tunis, Tunisia",Le Bardo,Standard,B,,2023-05-23,16226
Sousse,270,35.83020931221595,10.621430489135376,Apartment,5,86,3,1,9,3.9,True,False,False,224000,"137 Avenue El Ghazela, Apt. 31, Sousse, Tunisia",,Good,E,,2022-09-24,2605
Zaghouan,150,36.40197490425534,10.139757474597916,Apartment,33,148,1,1,5,11.6,True,False,False,161000,"43 Boulevard Tahar Sfar, Apt. 39, Zaghouan, Tunisia",Cité Médina,Basic,G,2017.0,2022-07-09,1088
Tunis,634,36.7852447921001,10.161808017677373,Studio,22,68,0,1,6,1.9,False,False,True,94000,"139 Avenue Bab Saadoun, Apt. 26, Tunis, Tunisia",,Basic,E,,2022-09-15,1382
Béja,100,36.74247362598094,9.168690997610328,Apartment,0,108,1,1,4,13.0,False,False,True,99000,"167 Boulevard Tahar Haddad, Apt. 34, Béja, Tunisia",Résidence Parc,Standard,A,,2024-03-25,917
Tunis,634,36.79124791357493,10.181745572562507,Apartment,34,109,1,2,1,1.7,False,False,True,296000,"58 Rue Bab Saadoun, Apt. 38, Tunis, Tunisia",Manar,Standard,F,2017.0,2023-04-20,2716
Medenine,200,33.353337356568126,10.47959732592895,House,10,147,4,2,0,4.1,False,True,False,473000,"59 Place Tahar Sfar, Medenine, Tunisia",,Standard,C,2023.0,2022-10-17,3218
Ben Arous,600,36.757140395981914,10.20926052214203,House,50,135,3,1,0,0.6,False,True,False,386000,"2 Rue Carthage, Ben Arous, Tunisia",El Lac,Basic,F,2019.0,2022-06-02,2859
Sousse,270,35.80132305254128,10.612237197608112,Apartment,24,97,3,2,5,3.7,False,False,True,221000,"59 Rue Mohamed V, Sousse, Tunisia",Kantaoui,Premium,C,2012.0,2023-10-28,2278
Ben Arous,600,36.77000820541043,10.209198624181404,Apartment,28,71,3,2,5,1.3,False,False,False,160000,"19 Place Ali Belhouane, Apt. 32, Ben Arous, Tunisia",El Palmeraie,Standard,C,2009.0,2022-11-30,2254
Jendouba,100,36.478357568220616,8.777994994357146,House,38,275,4,3,0,10.4,False,True,False,382000,"139 Avenue République, Jendouba, Tunisia",El Palmeraie,Standard,D,2011.0,2023-07-08,1389
Kef,120,36.1997996735971,8.703020418824465,Apartment,22,151,3,1,1,9.3,False,False,True,136000,"147 Place El Ferdaous, Apt. 31, Kef, Tunisia",,Premium,F,2015.0,2023-08-26,901
Ariana,350,36.85858563087629,10.172596126628187,House,28,168,2,3,0,0.6,False,True,False,687000,"25 Rue République, Ariana, Tunisia",Cité Jardins,Basic,C,2010.0,2022-04-09,4089
Gafsa,120,34.42285392570675,8.787880654031857,Apartment,17,96,2,2,3,13.0,False,True,True,130000,"111 Boulevard Tahar Haddad, Apt. 30, Gafsa, Tunisia",,Standard,B,2018.0,2023-10-02,1354
Mahdia,150,35.50814535268761,11.053821334608719,Apartment,13,90,2,2,6,6.7,True,False,False,185000,"14 Rue El Ferdaous, Apt. 22, Mahdia, Tunisia",Quartier Jardins,Good,B,,2023-08-19,2056
Tataouine,100,32.92337665903316,10.431231180946831,House,47,161,2,1,0,1.3,False,True,False,236000,"64 Avenue Ibn Khaldoun, Tataouine, Tunisia",Quartier Palmeraie,Good,F,2019.0,2023-12-26,1466
Medenine,200,33.33323991603231,10.481474733443648,House,10,270,3,2,0,8.8,False,True,True,796000,"138 Impasse République, Medenine, Tunisia",Hay Parc,Luxury,B,,2022-11-20,2948
Kairouan,150,35.69142979723561,10.12291371488741,Apartment,16,156,2,2,0,14.4,False,False,False,177000,"109 Avenue 14 Janvier, Apt. 16, Kairouan, Tunisia",Résidence Médina,Basic,E,2012.0,2023-09-22,1135
Medenine,200,33.36340372283333,10.51975355496877,Apartment,1,76,2,2,0,0.7,False,False,True,162000,"114 Place Farhat Hached, Apt. 35, Medenine, Tunisia",,Standard,C,,2023-05-19,2132
Tunis,634,36.81153960746698,10.191543284862194,Duplex,25,156,2,2,7,1.1,True,False,False,815000,"193 Avenue Farhat Hached, Apt. 32, Tunis, Tunisia",Centre Ville,Standard,E,2020.0,2024-02-12,5224
Ben Arous,600,36.74256029013402,10.234838521008632,Apartment,30,130,3,1,5,2.2,True,False,True,302000,"55 Impasse Hédi Chaker, Ben Arous, Tunisia",El Oliveraie,Luxury,F,2010.0,2022-11-13,2323
Tunis,634,36.80428247747199,10.180600866988847,Studio,23,41,0,1,6,4.2,True,False,False,52000,"100 Boulevard La Marsa, Tunis, Tunisia",Carthage,Good,E,2009.0,2023-03-15,1268
Manouba,400,36.822288828018756,10.086095917779861,House,34,258,3,3,0,1.6,False,True,True,889000,"74 Impasse Abou El Kacem Chebbi, Manouba, Tunisia",El Palmeraie,Premium,C,,2022-11-30,3446
Manouba,400,36.80030198058472,10.11823208955643,Studio,5,56,0,1,9,5.4,True,False,False,57000,"188 Place Ibn Sina, Apt. 32, Manouba, Tunisia",,Basic,E,,2022-04-02,1018
Ben Arous,600,36.731111214742555,10.227581714920667,Apartment,18,121,1,1,6,2.1,True,False,True,323000,"49 Boulevard 14 Janvier, Apt. 4, Ben Arous, Tunisia",,Basic,D,,2023-08-12,2669
Sfax,330,34.7612400400204,10.765818150390908,Apartment,31,117,3,2,4,2.3,True,True,True,353000,"16 Boulevard Gremda, Apt. 38, Sfax, Tunisia",Médina,Premium,E,,2023-06-30,3017
Manouba,400,36.811720353710605,10.084487208961468,Studio,29,30,0,1,8,1.7,True,False,False,25000,"129 Place Hédi Chaker, Apt. 33, Manouba, Tunisia",,Standard,G,2022.0,2022-10-31,833
Ben Arous,600,36.74546377445323,10.245902420790236,Apartment,27,88,2,2,9,1.9,True,False,False,194000,"48 Rue Farhat Hached, Apt. 16, Ben Arous, Tunisia",,Good,D,2018.0,2023-03-10,2205
Kef,120,36.18556090658842,8.715637109687838,House,34,254,3,1,0,4.0,False,True,True,704000,"31 Place Charles de Gaulle, Kef, Tunisia",Hay Parc,Basic,G,2018.0,2023-11-29,2772
Ariana,350,36.842478985677,10.171401407822756,Apartment,7,142,4,2,7,0.9,True,True,True,562000,"11 Place Jardins d'El Menzah, Apt. 38, Ariana, Tunisia",El Lac,Good,D,2023.0,2023-01-19,3958
Sfax,330,34.76378425943435,10.754149308364344,Apartment,21,81,4,2,3,2.1,False,False,True,220000,"67 Avenue Afran, Apt. 21, Sfax, Tunisia",Médina,Premium,F,,2023-01-23,2716
Tunis,634,36.81166065310497,10.160485753659364,Apartment,23,179,3,2,2,5.2,False,False,True,583000,"34 Boulevard El Menzah, Apt. 5, Tunis, Tunisia",Lac 2,Good,F,2014.0,2022-08-05,3257
Kebili,80,33.71325571428615,8.9902283354353,Villa,12,229,5,4,0,5.1,False,True,True,1040000,"118 Place Habib Bourguiba, Kebili, Tunisia",El Médina,Premium,D,2021.0,2024-02-01,4541
Mahdia,150,35.50838326264987,11.043505766118772,House,3,216,2,2,0,11.6,False,True,False,671000,"26 Rue Kheireddine, Mahdia, Tunisia",,Premium,B,,2022-04-23,3106
Ben Arous,600,36.75738607637368,10.241617360655233,House,5,171,5,1,0,4.3,False,True,True,873000,"55 Place Tahar Sfar, Ben Arous, Tunisia",Quartier Jardins,Standard,F,,2024-03-16,5105
Tunis,634,36.8018208268287,10.200491887397073,Villa,12,412,4,3,0,5.3,False,True,True,5026000,"18 Avenue Bab Bhar, Tunis, Tunisia",Lac 1,Premium,D,,2023-02-10,12199
Sfax,330,34.748034147667866,10.780262445914461,House,3,168,4,1,0,1.1,False,True,False,863000,"113 Place Chihia, Sfax, Tunisia",Médina,Good,F,,2022-01-31,5137
Sousse,270,35.83067526556237,10.616164398600242,Apartment,1,163,1,1,6,3.0,True,False,False,480000,"168 Place Omar Ibn Al Khattab, Apt. 36, Sousse, Tunisia",Kantaoui,Basic,G,,2024-03-23,2945
Monastir,200,35.76798458555526,10.811289747412623,Apartment,18,140,2,2,3,1.8,False,False,True,366000,"35 Boulevard Skanes, Apt. 7, Monastir, Tunisia",Centre Ville,Basic,E,2014.0,2022-07-28,2614
Mahdia,150,35.52504132488585,11.075220003364375,Studio,18,39,0,1,2,5.2,False,True,True,35000,"142 Avenue El Ferdaous, Apt. 39, Mahdia, Tunisia",Cité Oliveraie,Good,C,2022.0,2022-07-09,897
Tunis,634,36.8153199184455,10.17154831598158,Apartment,1,71,1,2,0,4.5,False,True,False,241000,"53 Boulevard Bab Bhar, Apt. 17, Tunis, Tunisia",La Marsa,Good,B,,2023-10-21,3394
Manouba,400,36.79360223860251,10.109822554399445,Apartment,27,86,1,2,7,5.8,False,False,True,145000,"24 Impasse Mohamed V, Manouba, Tunisia",,Luxury,C,,2023-07-29,1686
Tunis,634,36.805207897293954,10.167789477607531,Studio,19,62,0,1,0,5.0,False,False,True,80000,"198 Avenue Bab Bhar, Apt. 17, Tunis, Tunisia",La Marsa,Standard,D,2011.0,2023-11-09,1290
Gabès,200,33.887231098908266,10.075216692606922,Apartment,31,144,1,1,4,4.0,True,False,True,210000,"190 Impasse Liberté, Apt. 28, Gabès, Tunisia",Quartier Centre,Standard,F,2020.0,2023-07-22,1458
Kasserine,120,35.16350851270641,8.828827849729556,Duplex,14,184,3,2,7,9.9,True,True,False,353000,"3 Rue Tahar Sfar, Apt. 10, Kasserine, Tunisia",Quartier Palmeraie,Good,D,,2023-06-08,1918
Manouba,400,36.79179791670547,10.121232723879542,Villa,19,225,7,4,0,0.7,False,True,True,2179000,"10 Boulevard Tahar Sfar, Manouba, Tunisia",,Good,A,2020.0,2023-08-27,9684
Tunis,634,36.79195486822948,10.163017656502163,Apartment,18,145,2,1,7,2.2,True,False,True,448000,"111 Avenue Bab Saadoun, Apt. 24, Tunis, Tunisia",Menzah,Standard,F,2010.0,2022-09-22,3090
Ben Arous,600,36.73847674369435,10.241753056657988,Studio,29,45,0,1,7,0.7,False,False,False,43000,"92 Avenue Mohamed V, Apt. 7, Ben Arous, Tunisia",,Good,D,,2023-11-19,956
Manouba,400,36.80567528296359,10.100270796987626,Apartment,15,72,3,1,7,0.7,True,True,False,164000,"200 Place Mokhtar Attia, Manouba, Tunisia",El Jardins,Standard,E,2020.0,2023-07-02,2278
Monastir,200,35.75355045784932,10.802921565428665,Villa,16,444,5,4,0,0.9,False,True,True,5215000,"192 Avenue Beni Hassen, Monastir, Tunisia",Zone Touristique,Good,C,2017.0,2023-08-10,11745
Sidi Bouzid,160,35.03559127749135,9.50163276216008,Apartment,29,90,2,1,4,1.2,True,False,True,83000,"42 Avenue Carthage, Sidi Bouzid, Tunisia",,Standard,E,,2023-05-11,922
Medenine,200,33.359161943935376,10.480835328379783,Penthouse,8,252,2,2,7,3.0,True,False,True,1178000,"46 Boulevard Habib Bourguiba, Apt. 27, Medenine, Tunisia",,Premium,C,,2023-07-26,4675
Bizerte,150,37.27631815510505,9.894561484313964,Apartment,21,147,2,1,7,6.4,True,False,False,219000,"189 Avenue Tahar Haddad, Apt. 7, Bizerte, Tunisia",Cité Centre,Good,E,2011.0,2023-09-19,1490
Tunis,634,36.8008986377199,10.197978291571419,Apartment,13,148,3,2,6,2.0,False,False,True,638000,"121 Avenue La Marsa, Apt. 30, Tunis, Tunisia",Menzah,Basic,F,,2022-11-07,4311
Monastir,200,35.75918478271998,10.84796972448339,Villa,20,190,6,2,0,2.2,False,True,True,1929000,"58 Rue Khniss, Monastir, Tunisia",Centre Ville,Good,E,,2022-04-18,10153
Mahdia,150,35.51717116587657,11.084266719639345,House,17,111,3,3,0,5.7,False,True,False,363000,"50 Impasse Tahar Haddad, Mahdia, Tunisia",,Premium,E,2021.0,2023-12-12,3270
Siliana,80,36.093230861677625,9.368570196599972,House,52,134,2,2,0,5.5,False,True,True,161000,"72 Rue Ali Belhouane, Siliana, Tunisia",,Basic,F,,2023-05-21,1201
Mahdia,150,35.52650905862624,11.05097833881546,House,22,278,4,3,0,2.1,False,True,True,1203000,"72 Boulevard El Ghazela, Mahdia, Tunisia",Cité Jardins,Basic,E,2015.0,2022-05-10,4327
Béja,100,36.71720862610309,9.191740420900086,Villa,22,373,7,4,0,5.7,False,True,True,1716000,"131 Impasse Abou Hamed El Ghazali, Béja, Tunisia",,Basic,E,2020.0,2023-03-17,4601
Jendouba,100,36.51436581497627,8.802570174192459,House,5,128,3,3,0,12.1,False,True,False,205000,"138 Boulevard Tahar Haddad, Jendouba, Tunisia",,Basic,E,,2024-02-23,1602
Nabeul,200,36.43654012045281,10.752399901760961,Penthouse,11,231,2,2,14,6.5,True,False,True,1151000,"30 Boulevard Habib Bourguiba, Apt. 17, Nabeul, Tunisia",Quartier Médina,Luxury,C,2022.0,2022-08-20,4983
Tunis,634,36.818427302669846,10.15968972781268,Apartment,0,120,3,2,2,2.7,False,False,False,484000,"112 Boulevard El Manar, Apt. 21, Tunis, Tunisia",Le Bardo,Premium,C,,2023-12-10,4033
Tunis,634,36.80086115706051,10.170638272853004,Apartment,1,175,3,1,3,2.7,True,True,False,764000,"30 Impasse El Manar, Tunis, Tunisia",,Standard,B,,2023-12-24,4366
Tunis,634,36.796724521217705,10.205647343977734,Apartment,21,174,4,1,6,4.7,True,False,False,632000,"182 Impasse La Marsa, Apt. 35, Tunis, Tunisia",Lac 1,Good,G,,2022-12-31,3632
Sidi Bouzid,160,35.045438870674,9.496683807889674,House,17,275,5,2,0,9.0,False,True,True,472000,"185 Avenue Tahar Haddad, Sidi Bouzid, Tunisia",,Standard,E,2014.0,2022-05-17,1716
Ben Arous,600,36.77713088186575,10.222160089122882,Apartment,32,79,4,1,3,1.3,False,False,True,177000,"111 Rue Mokhtar Attia, Ben Arous, Tunisia",Résidence Médina,Standard,D,,2023-06-16,2241
Béja,100,36.74069200842264,9.178426548165223,House,39,134,4,2,0,2.9,False,True,True,250000,"160 Boulevard Ali Belhouane, Béja, Tunisia",Résidence Oliveraie,Standard,E,2014.0,2023-07-19,1866
Medenine,200,33.35837668359075,10.485532877065566,Apartment,14,124,3,2,5,1.5,False,False,False,271000,"32 Boulevard Tahar Haddad, Apt. 27, Medenine, Tunisia",,Standard,B,,2022-05-21,2185
Ben Arous,600,36.775684308853215,10.214238585420544,Apartment,21,105,1,1,1,1.4,False,False,False,206000,"104 Boulevard Ali Belhouane, Apt. 13, Ben Arous, Tunisia",,Good,C,2021.0,2023-05-30,1962
Nabeul,200,36.44261102534905,10.75030961170534,Penthouse,3,156,3,3,9,13.3,True,True,True,784000,"171 Impasse Paris, Apt. 12, Nabeul, Tunisia",,Luxury,D,,2022-01-11,5026
Mahdia,150,35.49928775707827,11.067610568838322,House,23,276,4,2,0,5.3,False,True,False,1087000,"146 Boulevard Omar Ibn Al Khattab, Mahdia, Tunisia",El Lac,Premium,E,,2023-11-27,3938
Ben Arous,600,36.750528675053474,10.24041849685449,Apartment,10,120,4,1,1,3.9,False,True,True,329000,"141 Rue Charles de Gaulle, Apt. 14, Ben Arous, Tunisia",Cité Centre,Standard,A,,2023-12-03,2742
Tunis,634,36.79291656261843,10.159422899361843,Apartment,3,143,2,1,2,3.6,False,False,True,449000,"156 Boulevard El Manar, Apt. 29, Tunis, Tunisia",Manar,Premium,C,,2023-06-27,3140
Ben Arous,600,36.743296469873655,10.227015433243423,Villa,21,340,4,3,0,1.3,False,True,True,3278000,"55 Place Tahar Haddad, Ben Arous, Tunisia",Cité Jardins,Good,E,2022.0,2022-06-14,9641
Ariana,350,36.84590100260963,10.18833986448282,Apartment,6,86,2,2,9,5.2,True,False,True,235000,"169 Rue Ennasr, Apt. 40, Ariana, Tunisia",Menzah 6,Good,B,,2022-08-08,2733
Tataouine,100,32.92759915091468,10.428769592184414,House,44,113,2,3,0,5.6,False,True,True,187000,"24 Avenue Ali Belhouane, Tataouine, Tunisia",,Basic,E,2009.0,2022-04-10,1655
Sfax,330,34.74476536240921,10.779517171398565,House,41,112,2,2,0,2.3,False,True,True,338000,"51 Avenue Carthage, Sfax, Tunisia",,Good,E,,2022-11-16,3018
Sidi Bouzid,160,35.02088714564765,9.490690400670076,House,25,271,2,2,0,13.2,False,True,True,390000,"12 Avenue Habib Bourguiba, Sidi Bouzid, Tunisia",Hay Jardins,Standard,D,2017.0,2022-07-17,1439
Gabès,200,33.88963696024554,10.094166734020964,House,42,215,5,2,0,10.8,False,True,True,461000,"157 Rue Hédi Chaker, Gabès, Tunisia",El Jardins,Standard,E,2021.0,2023-11-10,2144
Sfax,330,34.75065487936821,10.755836577174552,Apartment,20,177,4,1,6,2.5,True,False,True,505000,"50 Impasse Gremda, Apt. 16, Sfax, Tunisia",Gremda,Basic,E,2012.0,2024-01-03,2853
Ariana,350,36.86273186439887,10.170967652227722,Duplex,11,143,4,3,2,2.8,False,True,True,854000,"193 Rue El Ghazela, Apt. 15, Ariana, Tunisia",Borj Louzir,Standard,D,2021.0,2022-02-09,5972
Medenine,200,33.34948600570674,10.509567133947236,Duplex,21,127,4,3,2,11.5,False,False,True,354000,"179 Place Liberté, Apt. 36, Medenine, Tunisia",El Médina,Good,D,2009.0,2023-11-10,2787
Kef,120,36.159520043866316,8.708312505369756,Apartment,6,158,2,2,2,10.4,False,False,False,169000,"32 Impasse Carthage, Apt. 30, Kef, Tunisia",,Good,D,,2022-06-05,1070
Sfax,330,34.76455159203958,10.75633682812843,Studio,16,68,0,1,3,2.3,True,False,True,88000,"153 Boulevard Tahar Sfar, Sfax, Tunisia",Gremda,Standard,G,2023.0,2022-12-24,1294
Medenine,200,33.33999727025659,10.521996507907986,Apartment,3,130,3,2,2,2.0,False,True,False,288000,"157 Place Abou El Kacem Chebbi, Apt. 36, Medenine, Tunisia",,Good,F,,2022-06-02,2215
Manouba,400,36.82026309379329,10.10110350655621,Apartment,11,160,2,2,3,3.6,False,False,True,355000,"41 Impasse Abou El Kacem Chebbi, Apt. 16, Manouba, Tunisia",Résidence Lac,Premium,G,2022.0,2022-02-10,2219
Tunis,634,36.82139023406705,10.199718313322798,House,37,247,4,1,0,2.6,False,True,False,857000,"197 Place Hannibal, Tunis, Tunisia",La Marsa,Basic,F,,2022-01-12,3470
Ben Arous,600,36.75114440358686,10.227055418246593,Apartment,26,166,4,2,9,1.9,True,True,True,480000,"161 Avenue Hédi Chaker, Apt. 5, Ben Arous, Tunisia",Hay Palmeraie,Standard,B,,2023-10-31,2892
Nabeul,200,36.445602546782595,10.760835307000924,Apartment,16,144,1,2,5,14.4,True,False,True,250000,"74 Avenue Ibn Sina, Apt. 21, Nabeul, Tunisia",Résidence Oliveraie,Standard,E,2013.0,2022-05-10,1736
Sfax,330,34.75045831271452,10.739461153310405,Studio,13,35,0,1,1,5.5,False,False,False,33000,"36 Avenue Farhat Hached, Apt. 10, Sfax, Tunisia",Quartier Jardins,Standard,D,2021.0,2024-03-05,943
Gabès,200,33.899547981165654,10.097227997041813,Villa,2,361,5,4,0,13.7,False,True,True,2660000,"55 Rue Ibn Sina, Gabès, Tunisia",Cité Médina,Premium,E,,2023-08-12,7368
Tunis,634,36.784937695321126,10.183985862758165,Apartment,19,82,2,1,0,2.2,False,False,False,236000,"139 Impasse Bab Bhar, Apt. 14, Tunis, Tunisia",Manar,Good,D,2012.0,2024-02-12,2878
Béja,100,36.721458213948786,9.20058747024313,Apartment,30,134,2,2,5,3.9,True,False,True,178000,"100 Place Paris, Béja, Tunisia",Quartier Médina,Good,G,,2023-12-09,1328
Nabeul,200,36.43649973018047,10.75382323047461,Apartment,25,164,1,2,7,12.2,True,False,True,295000,"196 Place Habib Bourguiba, Apt. 1, Nabeul, Tunisia",Quartier Lac,Standard,C,2022.0,2023-06-14,1799
